-Cp        Points_0        Points_1        Points_2
-0.303825        0        0        0
-0.654796        0.000281972        -0.00198923        0
-0.879181        0.000882276        -0.00396926        0
-0.996386        0.00194736        -0.00590827        0
-1.02591        0.00332911        -0.00766855        0
-1.01198        0.00509127        -0.00929361        0
-0.969776        0.00699148        -0.0108657        0
-0.920776        0.00908233        -0.0123784        0
-0.867986        0.0113425        -0.0138088        0
-0.819187        0.0137861        -0.0151777        0
-0.773534        0.016378        -0.0164944        0
-0.735527        0.0191335        -0.0177658        0
-0.696969        0.0220332        -0.0190113        0
-0.657094        0.0250781        -0.0202433        0
-0.618617        0.0282769        -0.0214547        0
-0.585099        0.0316271        -0.022638        0
-0.554982        0.0351397        -0.0237996        0
-0.52481        0.0388069        -0.0249502        0
-0.495297        0.0426355        -0.0260959        0
-0.466967        0.046628        -0.0272309        0
-0.440719        0.0507898        -0.0283526        0
-0.415682        0.055125        -0.0294626        0
-0.390819        0.0596368        -0.0305625        0
-0.369101        0.0643309        -0.031651        0
-0.349224        0.069208        -0.0327323        0
-0.32799        0.0742709        -0.0338158        0
-0.305626        0.0795245        -0.0348998        0
-0.284123        0.0849738        -0.0359762        0
-0.263735        0.0906232        -0.0370433        0
-0.244262        0.0964757        -0.0381019        0
-0.225164        0.102535        -0.0391513        0
-0.206645        0.108806        -0.040192        0
-0.189805        0.115289        -0.0412209        0
-0.171769        0.121989        -0.0422379        0
-0.154191        0.128909        -0.0432433        0
-0.136343        0.136048        -0.0442377        0
-0.118764        0.143412        -0.0452192        0
-0.102892        0.151001        -0.0461804        0
-0.088996        0.158818        -0.0471231        0
-0.0745216        0.16686        -0.0480497        0
-0.0589991        0.175131        -0.0489612        0
-0.0426971        0.183629        -0.0498554        0
-0.0247285        0.192354        -0.0507356        0
-0.0076241        0.201305        -0.0515921        0
0.00727484        0.210482        -0.0524153        0
0.022945        0.219882        -0.0532102        0
0.0385053        0.229501        -0.0539794        0
0.055083        0.239338        -0.0547213        0
0.0740769        0.249387        -0.0554275        0
0.0933477        0.259646        -0.0560994        0
0.111436        0.270108        -0.056711        0
0.127524        0.280769        -0.0572715        0
0.146106        0.291622        -0.0577726        0
0.165409        0.302658        -0.0582258        0
0.182533        0.313872        -0.0585895        0
0.199957        0.325253        -0.0588921        0
0.212507        0.336793        -0.0590632        0
0.227438        0.348483        -0.0591707        0
0.241892        0.360309        -0.0591707        0
0.250548        0.372262        -0.05903        0
0.261145        0.384329        -0.0588052        0
0.264038        0.396497        -0.0584028        0
0.263433        0.408752        -0.0578916        0
0.259459        0.421081        -0.0572227        0
0.251671        0.43347        -0.0564499        0
0.242501        0.445906        -0.055547        0
0.230644        0.458374        -0.0545378        0
0.216184        0.470861        -0.0534072        0
0.200222        0.483353        -0.052195        0
0.184282        0.495839        -0.0508914        0
0.166722        0.508302        -0.0495074        0
0.14776        0.52073        -0.048043        0
0.129509        0.533114        -0.0465351        0
0.112698        0.545439        -0.0449797        0
0.0951968        0.557691        -0.043382        0
0.0771613        0.56986        -0.0417459        0
0.0586416        0.581934        -0.0400866        0
0.0408156        0.593903        -0.038414        0
0.0294108        0.605763        -0.0367912        0
0.0228699        0.617501        -0.0351921        0
0.00773304        0.629089        -0.0335153        0
-0.0147701        0.640524        -0.0317885        0
-0.031838        0.651809        -0.030121        0
-0.043974        0.662935        -0.0285014        0
-0.0561096        0.673891        -0.0269083        0
-0.0680575        0.684669        -0.0253429        0
-0.0792927        0.695262        -0.0238167        0
-0.0898291        0.705665        -0.0223299        0
-0.100003        0.715873        -0.0208849        0
-0.110002        0.725878        -0.0194803        0
-0.119396        0.73568        -0.0181228        0
-0.128024        0.745272        -0.0168152        0
-0.136115        0.754653        -0.0155574        0
-0.14399        0.763819        -0.0143501        0
-0.151704        0.772769        -0.0131931        0
-0.158397        0.781501        -0.0120977        0
-0.164001        0.790015        -0.0110609        0
-0.169216        0.79831        -0.010076        0
-0.174377        0.806384        -0.00913811        0
-0.179269        0.814238        -0.00824852        0
-0.183878        0.821874        -0.00740778        0
