-Cp    Points_0    Points_1    Points_2
-0.840637    0    0    0
-1.02797    0.000281972    -0.00198923    0
-1.10116    0.000882276    -0.00396926    0
-1.08702    0.00194736    -0.00590827    0
-1.02519    0.00332911    -0.00766855    0
-0.961928    0.00509127    -0.00929361    0
-0.891236    0.00699148    -0.0108657    0
-0.819712    0.00908233    -0.0123784    0
-0.755592    0.0113425    -0.0138088    0
-0.699617    0.0137861    -0.0151777    0
-0.650079    0.016378    -0.0164944    0
-0.607677    0.0191335    -0.0177658    0
-0.566822    0.0220332    -0.0190113    0
-0.524649    0.0250781    -0.0202433    0
-0.485621    0.0282769    -0.0214547    0
-0.452224    0.0316271    -0.022638    0
-0.423423    0.0351397    -0.0237996    0
-0.395147    0.0388069    -0.0249502    0
-0.366117    0.0426355    -0.0260959    0
-0.338365    0.046628    -0.0272309    0
-0.313152    0.0507898    -0.0283526    0
-0.289808    0.055125    -0.0294626    0
-0.267969    0.0596368    -0.0305625    0
-0.248536    0.0643309    -0.031651    0
-0.230258    0.069208    -0.0327323    0
-0.21022    0.0742709    -0.0338158    0
-0.188918    0.0795245    -0.0348998    0
-0.168866    0.0849738    -0.0359762    0
-0.150226    0.0906232    -0.0370433    0
-0.132338    0.0964757    -0.0381019    0
-0.114907    0.102535    -0.0391513    0
-0.0978259    0.108806    -0.040192    0
-0.0814161    0.115289    -0.0412209    0
-0.065786    0.121989    -0.0422379    0
-0.0503708    0.128909    -0.0432433    0
-0.0345395    0.136048    -0.0442377    0
-0.0186405    0.143412    -0.0452192    0
-0.00434363    0.151001    -0.0461804    0
0.00901377    0.158818    -0.0471231    0
0.0225903    0.16686    -0.0480497    0
0.0366293    0.175131    -0.0489612    0
0.0510591    0.183629    -0.0498554    0
0.0673585    0.192354    -0.0507356    0
0.0834335    0.201305    -0.0515921    0
0.097682    0.210482    -0.0524153    0
0.111468    0.219882    -0.0532102    0
0.127056    0.229501    -0.0539794    0
0.143541    0.239338    -0.0547213    0
0.16157    0.249387    -0.0554275    0
0.1805    0.259646    -0.0560994    0
0.197747    0.270108    -0.056711    0
0.213499    0.280769    -0.0572715    0
0.231371    0.291622    -0.0577726    0
0.250764    0.302658    -0.0582258    0
0.269333    0.313872    -0.0585895    0
0.288308    0.325253    -0.0588921    0
0.299066    0.336793    -0.0590632    0
0.314672    0.348483    -0.0591707    0
0.328813    0.360309    -0.0591707    0
0.334806    0.372262    -0.05903    0
0.344646    0.384329    -0.0588052    0
0.345329    0.396497    -0.0584028    0
0.339435    0.408752    -0.0578916    0
0.330157    0.421081    -0.0572227    0
0.316436    0.43347    -0.0564499    0
0.301241    0.445906    -0.055547    0
0.283197    0.458374    -0.0545378    0
0.262732    0.470861    -0.0534072    0
0.24141    0.483353    -0.052195    0
0.220667    0.495839    -0.0508914    0
0.198511    0.508302    -0.0495074    0
0.175089    0.52073    -0.048043    0
0.152573    0.533114    -0.0465351    0
0.131791    0.545439    -0.0449797    0
0.110562    0.557691    -0.043382    0
0.0891424    0.56986    -0.0417459    0
0.0675143    0.581934    -0.0400866    0
0.0468632    0.593903    -0.038414    0
0.0331738    0.605763    -0.0367912    0
0.0245579    0.617501    -0.0351921    0
0.00716173    0.629089    -0.0335153    0
-0.0176328    0.640524    -0.0317885    0
-0.0369452    0.651809    -0.030121    0
-0.0512043    0.662935    -0.0285014    0
-0.0653964    0.673891    -0.0269083    0
-0.0793734    0.684669    -0.0253429    0
-0.0925575    0.695262    -0.0238167    0
-0.104908    0.705665    -0.0223299    0
-0.116749    0.715873    -0.0208849    0
-0.128306    0.725878    -0.0194803    0
-0.139286    0.73568    -0.0181228    0
-0.149527    0.745272    -0.0168152    0
-0.159204    0.754653    -0.0155574    0
-0.16849    0.763819    -0.0143501    0
-0.177414    0.772769    -0.0131931    0
-0.185169    0.781501    -0.0120977    0
-0.191835    0.790015    -0.0110609    0
-0.198111    0.79831    -0.010076    0
-0.204306    0.806384    -0.00913811    0
-0.21026    0.814238    -0.00824852    0
-0.215851    0.821874    -0.00740778    0
-0.221348    0.829292    -0.00661186    0
-0.226159    0.836494    -0.00586777    0
-0.230204    0.843482    -0.00517432    0
-0.233873    0.850259    -0.00452616    0
-0.237354    0.856826    -0.00391996    0
-0.240929    0.863186    -0.00335103    0
-0.244074    0.869343    -0.00282415    0
-0.246627    0.875299    -0.00233946    0
-0.248979    0.881059    -0.00189128    0
-0.250874    0.886626    -0.00148169    0
-0.252581    0.892004    -0.00110576    0
-0.254153    0.897197    -0.000761746    0
-0.25504    0.902209    -0.000454003    0
-0.255645    0.907044    -0.000176713    0
-0.256088    0.911706    7.25745e-05    0
-0.255941    0.916199    0.00029135    0
-0.255874    0.920529    0.000487544    0
-0.255806    0.924699    0.000661136    0
-0.254798    0.928713    0.00080526    0
-0.253508    0.932577    0.000927201    0
-0.252567    0.936294    0.00103247    0
-0.250524    0.939868    0.0011117    0
-0.247313    0.943305    0.00116622    0
-0.244974    0.946609    0.00121272    0
-0.242259    0.949783    0.00124287    0
-0.237636    0.952831    0.00125    0
-0.23308    0.955759    0.00125    0
-0.229882    0.958569    0.00125    0
-0.228175    0.961267    0.00125    0
-0.226307    0.963855    0.00124125    0
-0.221576    0.966338    0.00120974    0
-0.215797    0.96872    0.00116773    0
-0.211187    0.971003    0.00112582    0
-0.206847    0.973193    0.00108054    0
-0.201712    0.975291    0.00102873    0
-0.196458    0.977302    0.000973603    0
-0.191445    0.979229    0.000917173    0
-0.185881    0.981075    0.000856423    0
-0.179699    0.982844    0.000792809    0
-0.173624    0.984537    0.000728643    0
-0.167751    0.986159    0.000664984    0
-0.161784    0.987711    0.000600497    0
-0.1554    0.989198    0.000535148    0
-0.148775    0.99062    0.000468997    0
-0.140872    0.991982    0.000400539    0
-0.13215    0.993285    0.000331142    0
-0.123011    0.994531    0.000263209    0
-0.113187    0.995724    0.000196468    0
-0.102409    0.996865    0.000131053    0
-0.0878268    0.997956    6.63466e-05    0
-0.0685278    0.999    -1.37406e-06    0
-0.0546043    1    0    0
-0.055693    0.999089    0.000390229    0
-0.0562442    0.998061    0.000598687    0
-0.05529    0.996986    0.000818123    0
-0.0556392    0.995868    0.00105361    0
-0.0544431    0.994699    0.00129747    0
-0.0544969    0.993476    0.00155012    0
-0.0542954    0.992198    0.00181208    0
-0.0544969    0.990862    0.0020841    0
-0.0544165    0.989466    0.00236723    0
-0.0544969    0.988008    0.0026616    0
-0.0545238    0.986484    0.00296762    0
-0.0546581    0.984892    0.00328536    0
-0.0546715    0.98323    0.00361476    0
-0.0547388    0.981494    0.00395646    0
-0.0547119    0.97968    0.00431232    0
-0.0547657    0.977789    0.00468401    0
-0.0547388    0.975814    0.00507271    0
-0.0547523    0.973754    0.00547778    0
-0.0547254    0.971604    0.005898    0
-0.0547119    0.969361    0.00633207    0
-0.054685    0.967021    0.00678096    0
-0.0546581    0.964581    0.0072466    0
-0.0545908    0.962038    0.00773126    0
-0.0544969    0.959387    0.00823711    0
