-Cp        Points_0        Points_1        Points_2
-0.736548        0        0        0
-0.961        0.000281972        -0.00198923        0
-1.07048        0.000882276        -0.00396926        0
-1.08217        0.00194736        -0.00590827        0
-1.04208        0.00332911        -0.00766855        0
-0.991145        0.00509127        -0.00929361        0
-0.927442        0.00699148        -0.0108657        0
-0.861347        0.00908233        -0.0123784        0
-0.801246        0.0113425        -0.0138088        0
-0.748751        0.0137861        -0.0151777        0
-0.699765        0.016378        -0.0164944        0
-0.656839        0.0191335        -0.0177658        0
-0.616843        0.0220332        -0.0190113        0
-0.576431        0.0250781        -0.0202433        0
-0.537376        0.0282769        -0.0214547        0
-0.502984        0.0316271        -0.022638        0
-0.473498        0.0351397        -0.0237996        0
-0.44455        0.0388069        -0.0249502        0
-0.415117        0.0426355        -0.0260959        0
-0.386962        0.046628        -0.0272309        0
-0.361359        0.0507898        -0.0283526        0
-0.337478        0.055125        -0.0294626        0
-0.315128        0.0596368        -0.0305625        0
-0.29474        0.0643309        -0.031651        0
-0.27532        0.069208        -0.0327323        0
-0.254798        0.0742709        -0.0338158        0
-0.232744        0.0795245        -0.0348998        0
-0.212316        0.0849738        -0.0359762        0
-0.193488        0.0906232        -0.0370433        0
-0.174054        0.0964757        -0.0381019        0
-0.155387        0.102535        -0.0391513        0
-0.138319        0.108806        -0.040192        0
-0.121573        0.115289        -0.0412209        0
-0.105312        0.121989        -0.0422379        0
-0.0898294        0.128909        -0.0432433        0
-0.0732854        0.136048        -0.0442377        0
-0.0566338        0.143412        -0.0452192        0
-0.0421998        0.151001        -0.0461804        0
-0.0284246        0.158818        -0.0471231        0
-0.0140171        0.16686        -0.0480497        0
1.34577e-05        0.175131        -0.0489612        0
0.0149944        0.183629        -0.0498554        0
0.0319697        0.192354        -0.0507356        0
0.0490486        0.201305        -0.0515921        0
0.0642364        0.210482        -0.0524153        0
0.0789313        0.219882        -0.0532102        0
0.09549        0.229501        -0.0539794        0
0.112274        0.239338        -0.0547213        0
0.129742        0.249387        -0.0554275        0
0.149464        0.259646        -0.0560994        0
0.168497        0.270108        -0.056711        0
0.182407        0.280769        -0.0572715        0
0.199948        0.291622        -0.0577726        0
0.219709        0.302658        -0.0582258        0
0.238022        0.313872        -0.0585895        0
0.257058        0.325253        -0.0588921        0
0.269142        0.336793        -0.0590632        0
0.284881        0.348483        -0.0591707        0
0.296842        0.360309        -0.0591707        0
0.304504        0.372262        -0.05903        0
0.316843        0.384329        -0.0588052        0
0.318301        0.396497        -0.0584028        0
0.312729        0.408752        -0.0578916        0
0.305013        0.421081        -0.0572227        0
0.293411        0.43347        -0.0564499        0
0.280239        0.445906        -0.055547        0
0.263834        0.458374        -0.0545378        0
