-Cp    Points_0    Points_1    Points_2
-0.727436    0    0    0
-0.987221    0.000281972    -0.00198923    0
-1.11272    0.000882276    -0.00396926    0
-1.12097    0.00194736    -0.00590827    0
-1.07263    0.00332911    -0.00766855    0
-1.01473    0.00509127    -0.00929361    0
-0.946015    0.00699148    -0.0108657    0
-0.875432    0.00908233    -0.0123784    0
-0.809471    0.0113425    -0.0138088    0
-0.752165    0.0137861    -0.0151777    0
-0.699926    0.016378    -0.0164944    0
-0.652781    0.0191335    -0.0177658    0
-0.609021    0.0220332    -0.0190113    0
-0.56623    0.0250781    -0.0202433    0
-0.524958    0.0282769    -0.0214547    0
-0.489048    0.0316271    -0.022638    0
-0.457788    0.0351397    -0.0237996    0
-0.426218    0.0388069    -0.0249502    0
-0.394877    0.0426355    -0.0260959    0
-0.365042    0.046628    -0.0272309    0
-0.337841    0.0507898    -0.0283526    0
-0.3133    0.055125    -0.0294626    0
-0.289929    0.0596368    -0.0305625    0
-0.26895    0.0643309    -0.031651    0
-0.2491    0.069208    -0.0327323    0
-0.227449    0.0742709    -0.0338158    0
-0.205986    0.0795245    -0.0348998    0
-0.185464    0.0849738    -0.0359762    0
-0.16591    0.0906232    -0.0370433    0
-0.146705    0.0964757    -0.0381019    0
-0.127365    0.102535    -0.0391513    0
-0.108738    0.108806    -0.040192    0
-0.0910252    0.115289    -0.0412209    0
-0.074992    0.121989    -0.0422379    0
-0.0584615    0.128909    -0.0432433    0
-0.0420924    0.136048    -0.0442377    0
-0.025172    0.143412    -0.0452192    0
-0.00925953    0.151001    -0.0461804    0
0.00475088    0.158818    -0.0471231    0
0.0203137    0.16686    -0.0480497    0
0.0338003    0.175131    -0.0489612    0
0.0489639    0.183629    -0.0498554    0
0.0650926    0.192354    -0.0507356    0
0.0803706    0.201305    -0.0515921    0
0.0961323    0.210482    -0.0524153    0
0.111808    0.219882    -0.0532102    0
0.128689    0.229501    -0.0539794    0
0.14645    0.239338    -0.0547213    0
0.164809    0.249387    -0.0554275    0
0.182154    0.259646    -0.0560994    0
0.199947    0.270108    -0.056711    0
0.217645    0.280769    -0.0572715    0
0.236615    0.291622    -0.0577726    0
0.256881    0.302658    -0.0582258    0
0.27657    0.313872    -0.0585895    0
0.294583    0.325253    -0.0588921    0
0.306079    0.336793    -0.0590632    0
0.321992    0.348483    -0.0591707    0
0.335059    0.360309    -0.0591707    0
0.342522    0.372262    -0.05903    0
